,name,Position,Academic Year,Height,Weight,Hometown,High School,Year,sport,Sport
108,Reggie Harden, Wide Receiver, R-Fr., 6' 4'' ,190 lbs ," Jacksonville, Fla.", Raines,2021,football,
109,Tru Thompson, Defensive Tackle, R-So., 6' 0'' ,312 lbs ," Loganville, Ga.", Grayson,2021,football,
110,Robert Cooper, Defensive Tackle, R-Jr., 6' 2'' ,338 lbs ," Lilburn, Ga.", South Gwinnett,2021,football,
111,Liam McCormick, Defensive Line, Fr., 6' 3'' ,278 lbs ," Islip, N.Y.", IMG Academy (Fla.),2021,football,
112,Malakai Menzer, Defensive Line, R-Fr., 6' 1'' ,255 lbs ," Punta Gorda, Fla.", Charlotte,2021,football,
113,Rowan Hanley, Defensive Line, Fr., 6' 4'' ,289 lbs ," Okeechobee, Fla.", Okeechobee,2021,football,
114,Shambre Jackson, Defensive Line, Fr., 6' 3'' ,259 lbs ," Orlando, Fla.", Boone,2021,football,
115,Aidan Shahriari, Kicker, R-Fr., 5' 11'' ,190 lbs ," Clearwater, Fla.", Calvary Christian,2021,football,
116,Zane Smith, Punter, Fr., 6' 0'' ,227 lbs ," North Myrtle Beach, S.C.", North Myrtle Beach,2021,football,
117,Malcolm Ray, Defensive Tackle, R-Fr., 6' 2'' ,282 lbs ," Miami Gardens, Fla.", Miami Carol City,2021,football,
0,Ja’Khi Douglas, Wide Receiver, R-So., 5' 9'' ,193 lbs ," Houma, La.", Terrebonne,2022,football,
1,"Fabien Lovett, Sr.", Defensive Tackle, R-Jr., 6' 4'' ,318 lbs ," Vicksburg, Miss.", Olive Branch,2022,football,
2,Jarques Mcclellion, Defensive Back, R-Sr., 6' 0'' ,180 lbs ," Delray Beach, Fla.", American Heritage School,2022,football,
3,Winston Wright Jr., Wide Receiver, R-Jr., 5' 10'' ,183 lbs ," Savannah, Ga.", Memorial Day School,2022,football,
4,Trey Benson, Running Back, R-So., 6' 1'' ,215 lbs ," Greenville, Miss.", St. Joseph Catholic,2022,football,
5,Kevin Knowles II, Defensive Back, So., 5' 11'' ,185 lbs ," Hollywood, Fla.", McArthur,2022,football,
6,Kalen DeLoach, Linebacker, R-Jr., 6' 1'' ,211 lbs ," Savannah, Ga.", Islands,2022,football,
7,Mycah Pittman, Wide Receiver, R-Jr., 5' 11'' ,203 lbs ," Tampa, Fla.", Calabasas (Calif.),2022,football,
8,Deuce Spann, Wide Receiver, R-So., 6' 4'' ,203 lbs ," St. Petersburg, Fla.", Lakewood,2022,football,
9,Jared Verse, Defensive End, R-So., 6' 4'' ,248 lbs ," Dayton, Ohio", Central Columbia (Penn.),2022,football,
10,Dennis Briggs Jr., Defensive End, R-Jr., 6' 4'' ,280 lbs ," Kissimmee, Fla.", Gateway,2022,football,
11,Keyshawn Helton, Wide Receiver, R-Sr., 5' 9'' ,175 lbs ," Pensacola, Fla.", West Florida,2022,football,
12,Jarrian Jones, Defensive Back, R-Jr., 6' 0'' ,189 lbs ," Magee, Miss.", Northwest Rankin,2022,football,
13,Renardo Green, Defensive Back, R-Jr., 6' 0'' ,185 lbs ," Orlando, Fla.", Wekiva,2022,football,
14,Treshaun Ward, Running Back, R-So., 5' 10'' ,192 lbs ," Plant City, Fla.", Tampa Bay Tech,2022,football,
15,Derrick McLendon II, Defensive End, R-So., 6' 4'' ,245 lbs ," Decatur, Ga.", Tucker,2022,football,
16,Lawrance Toafili, Running Back, R-So., 6' 0'' ,187 lbs ," St. Petersburg, Fla.", Pinellas Park,2022,football,
17,AJ Duffy, Quarterback, Fr., 6' 2'' ,214 lbs ," Inland Empire, Calif.", Rancho Verde,2022,football,
18,Jammie Robinson, Defensive Back, R-Jr., 5' 11'' ,203 lbs ," Cordele, Ga.", Lee County,2022,football,
19,Malik Mcclain, Wide Receiver, So., 6' 4'' ,200 lbs ," Daphne, Ala.", IMG Academy (Fla.),2022,football,
20,Joshua Burrell, Athlete, R-Fr., 6' 2'' ,217 lbs ," Blythewood, S.C.", Blythewood,2022,football,
21,Dylan McNamara, Quarterback, Fr., 6' 2'' ,213 lbs ," Naples, Fla.", Barron Collier,2022,football,
22,Omarion Cooper, Defensive Back, So., 6' 0'' ,188 lbs ," Lehigh Acres, Fla.", Lehigh Senior,2022,football,
23,Jordan Travis, Quarterback, R-Jr., 6' 1'' ,212 lbs ," West Palm Beach, Fla.", The Benjamin School,2022,football,
24,Johnny Wilson, Wide Receiver, R-So., 6' 7'' ,235 lbs ," Pacoima, Calif.", Calabasas,2022,football,
25,Tatum Bethune, Linebacker, R-Jr., 6' 1'' ,230 lbs ," Miami, Fla.", Miami Central,2022,football,
26,Gino English, Quarterback, R-So., 6' 1'' ,195 lbs ," Winter Park, Fla.", Winter Park,2022,football,
27,Malik Feaster, Defensive Back, R-Sr., 6' 0'' ,190 lbs ," Toccoa, Ga.", Stephens County,2022,football,
28,Travis Jay, Defensive Back, R-So., 6' 2'' ,198 lbs ," Greenville, Fla.", Madison County,2022,football,
29,Tate Rodemaker, Quarterback, R-So., 6' 4'' ,196 lbs ," Valdosta, Ga.", Valdosta,2022,football,
30,Wyatt Rector, Tight End, R-Jr., 6' 2'' ,233 lbs ," Leesburg, Fla.", Leesburg,2022,football,
31,Azareye’h Thomas, Defensive Back, Fr., 6' 2'' ,188 lbs ," Niceville, Fla.", Niceville,2022,football,
32,Greedy Vance Jr., Defensive Back, R-So., 5' 11'' ,170 lbs ," Kenner, La.", Edna Karr,2022,football,
33,Darion Williamson, Wide Receiver, R-So., 6' 3'' ,200 lbs ," Brownsville, Tenn.", Haywood,2022,football,
34,CJ Campbell Jr., Running Back, R-Fr., 5' 9'' ,198 lbs ," Kaplan, La.", Bay (Fla.),2022,football,
35,Sidney Williams, Defensive Back, R-So., 6' 1'' ,190 lbs ," New Orleans, La.", Vigor (Ala.),2022,football,
36,Mike Roussos, Wide Receiver, R-Sr., 6' 1'' ,200 lbs ," New Port Richey, Fla.", River Ridge,2022,football,
37,Caziah Holmes, Running Back, R-So., 5' 11'' ,210 lbs ," Titusville, Fla.", Cocoa,2022,football,
38,Dwayne Wells Jr., Defensive Back, R-Jr., 6' 1'' ,190 lbs ," Tampa, Fla.", Armwood,2022,football,
39,Akeem Dent, Defensive Back, R-Jr., 6' 1'' ,199 lbs ," Pahokee, Fla.", Palm Beach Central,2022,football,
40,Brendan Gant, Linebacker, R-Jr., 6' 2'' ,200 lbs ," Lakeland, Fla.", Kathleen,2022,football,
41,Rodney Hill, Running Back, Fr., 5' 10'' ,186 lbs ," Statesboro, Ga.", Bulloch Academy,2022,football,
42,Alex Mastromanno, Punter, R-So., 6' 1'' ,220 lbs ," Melbourne, Australia", Brighton Grammar,2022,football,
43,Dj Daniels, Tight End, R-So., 6' 2'' ,230 lbs ," Wilson, N.C.", Fike,2022,football,
44,"Stephen Dix, Jr.", Linebacker, R-So., 6' 2'' ,237 lbs ," Orlando, Fla.", Dr. Phillips,2022,football,
45,Jeremiah Giedrys, Wide Receiver, R-So., 6' 1'' ,196 lbs ," Fernandina Beach, Fla.", Fernandina Beach,2022,football,
46,Amari Gainer, Linebacker, R-Jr., 6' 3'' ,225 lbs ," Tallahassee, Fla.", Chiles,2022,football,
47,Leonard Warner III, Defensive End, R-Sr., 6' 4'' ,247 lbs ," Snellville, Ga.", Brookwood,2022,football,
48,Omar Graham Jr., Linebacker, Fr., 6' 1'' ,226 lbs ," Fort Lauderdale, Fla.", Stranahan,2022,football,
49,Christian White, Defensive Back, Fr., 5' 11'' ,170 lbs ," Ellenwood, Ga.", Eagle's Landing Christian Academy,2022,football,
50,Shyheim Brown, Defensive Back, R-Fr., 6' 2'' ,205 lbs ," Lake City, Fla.", Columbia,2022,football,
51,Jaden Floyd, Defensive Back, R-Fr., 5' 11'' ,201 lbs ," Winter Garden, Fla.", West Orange,2022,football,
52,Vance Nicklaus, Tight End, R-Fr., 6' 5'' ,237 lbs ," Norcross, Ga.", Wesleyan School,2022,football,
53,Jorden Mccaslin, Linebacker, Fr., 6' 0'' ,217 lbs ," Tampa, Fla.", Wesley Chapel,2022,football,
54,AJ Cottrill, Linebacker, Fr., 6' 0'' ,216 lbs ," Tampa, Fla.", Jesuit,2022,football,
55,Garrett Murray, Long Snapper, R-Jr., 6' 0'' ,240 lbs ," Tampa, Fla.", Plant,2022,football,
56,Harold Stubbs IV, Defensive Back, Fr., 5' 11'' ,170 lbs ," Jacksonville, Fla.", Oakleaf,2022,football,
57,Mac Chiumento, Punter, Fr., 6' 4'' ,213 lbs ," Daytona Beach, Fla.", Seabreeze,2022,football,
58,Joshua Farmer, Defensive Tackle, R-Fr., 6' 3'' ,304 lbs ," Port St. Joe, Fla.", Gadsden County,2022,football,
59,Danj Altine, Defensive Back, R-Jr., 5' 9'' ,170 lbs ," Miami, Fla.", Miami Killian,2022,football,
60,Preston Daniel, Tight End, R-So., 6' 4'' ,242 lbs ," Memphis, Tenn.", Evangelical Christian,2022,football,
61,DJ Lundy, Linebacker, R-So., 6' 1'' ,232 lbs ," Ocilla, Ga.", Irwin County,2022,football,
62,Jimmy Casey, Tight End, Fr., 6' 7'' ,242 lbs ," Quakertown, Penn.", The Peddie School,2022,football,
63,Jackson West, Tight End, So., 6' 4'' ,243 lbs ," Huntsville, Ala.", Huntsville,2022,football,
64,James Rosenberry Jr., Long Snapper, R-Jr., 6' 0'' ,212 lbs ," Delaware, Ohio", Olentangy,2022,football,
65,Chase Oliver, Linebacker, R-So., 6' 1'' ,197 lbs ," Ocala, Fla.", Trinity Catholic,2022,football,
66,Antavious Woody, Defensive Line, Fr., 6' 3'' ,293 lbs ," Welch, Ala.", LaFayette,2022,football,
67,Robert Scott Jr., Offensive Line, R-So., 6' 5'' ,334 lbs ," Conway, Ark.", Conway,2022,football,
68,"George Wilson, Jr.", Defensive Line, R-Fr., 6' 4'' ,215 lbs ," Virginia Beach, Virginia", Green Run,2022,football,
69,Maurice Smith, Offensive Line, R-So., 6' 3'' ,288 lbs ," Miami, Fla.", Miami Central,2022,football,
70,Kayden Lyles, Offensive Line, R-Sr., 6' 3'' ,315 lbs ," Tampa, Fla.", Middleton (Wisc.),2022,football,
71,Byron Turner Jr., Defensive Line, R-Fr., 6' 4'' ,237 lbs ," Port Sulpher, La.", St. Augustine,2022,football,
72,Qae’shon Sapp, Offensive Line, Fr., 6' 4'' ,335 lbs ," Leesburg, Ga.", Lee County,2022,football,
73,Ayobami Tifase, Defensive Line, Fr., 6' 4'' ,303 lbs ," Baltimore, Md.", Concordia Prep,2022,football,
74,Zane Herring, Offensive Line, R-So., 6' 5'' ,302 lbs ," Madison, Fla.", Madison County,2022,football,
75,Patrick Payton, Defensive Line, R-Fr., 6' 5'' ,248 lbs ," Miami, Fla.", Miami Northwestern,2022,football,
76,Aaron Hester, Defensive Line, Fr., 6' 2'' ,233 lbs ," Jacksonville, Fla.", Fletcher,2022,football,
77,Emile Aime, Linebacker, R-Fr., 5' 9'' ,227 lbs ," Miami Gardens, Fla.", University School,2022,football,
78,Bless Harris, Offensive Line, R-Jr., 6' 5'' ,308 lbs ," New Orleans, La.", St. Augustine,2022,football,
79,Colin King, Offensive Line, Fr., 6' 4'' ,286 lbs ," Ormond Beach, Fla.", Spruce Creek,2022,football,
80,David Stickle, Offensive Line, R-So., 6' 3'' ,267 lbs ," Pace, Fla.", Pace,2022,football,
81,Ben Ostaszewski, Offensive Line, R-So., 6' 3'' ,310 lbs ," Cumming, Ga.", North Forsyth,2022,football,
82,Thomas Shrader, Offensive Line, R-So., 6' 5'' ,300 lbs ," Venice, Fla.", Venice,2022,football,
83,LaNard Toney, Offensive Line, Fr., 6' 0'' ,302 lbs ," Rockledge, Fla.", Cocoa,2022,football,
84,Kanaya Charlton, Offensive Line, Fr., 6' 5'' ,342 lbs ," Brunswick, Ga.", Brunswick,2022,football,
85,Lloyd Willis, Offensive Line, R-So., 6' 7'' ,306 lbs ," Miami, Fla.", Killian,2022,football,
86,D’Mitri Emmanuel, Offensive Line, R-Sr., 6' 2'' ,300 lbs ," Charlotte, N.C.", Marvin Ridge,2022,football,
87,Julian Armella, Offensive Line, Fr., 6' 6'' ,314 lbs ," Miami, Fla.", St. Thomas Aquinas,2022,football,
88,Jaylen Early, Offensive Line, Fr., 6' 4'' ,338 lbs ," Duncanville, Texas", Duncanville,2022,football,
89,Dillan Gibbons, Offensive Line, R-Sr., 6' 5'' ,327 lbs ," St. Petersburg, Fla.", Clearwater Central Catholic,2022,football,
90,Darius Washington, Offensive Line, R-So., 6' 4'' ,300 lbs ," Pensacola, Fla.", West Florida,2022,football,
91,Bryson Estes, Offensive Line, R-Fr., 6' 3'' ,302 lbs ," McDonough, Ga.", Eagle's Landing Christian Academy,2022,football,
92,Daughtry Richardson, Offensive Line, Fr., 6' 5'' ,285 lbs ," Miami, Fla.", Miami Central,2022,football,
93,Jazston Turnetine, Offensive Line, R-Sr., 6' 7'' ,336 lbs ," Ellenwood, Ga.", Stockbridge,2022,football,
94,Ontaria Wilson, Wide Receiver, R-Sr., 6' 0'' ,175 lbs ," Ashburn, Ga.", Turner County,2022,football,
95,Carson Pielock, Wide Receiver, Fr., 6' 1'' ,190 lbs ," Lake Nona, Fla.", Lake Nona,2022,football,
96,Fernando Padron, Wide Receiver, R-Jr., 5' 9'' ,168 lbs ," Weston, Fla.", Cypress Bay,2022,football,
97,Markeston Douglas, Tight End, R-So., 6' 4'' ,270 lbs ," Brownsville, Tenn.", Haywood,2022,football,
98,Brian Courtney, Tight End, Fr., 6' 3'' ,233 lbs ," Ashburn, Va.", Independence,2022,football,
99,Camren McDonald, Tight End, R-Sr., 6' 4'' ,245 lbs ," Long Beach, Calif.", Long Beach Poly,2022,football,
100,Ryan Fitzgerald, Kicker, R-So., 6' 1'' ,198 lbs ," Coolidge, Ga.", Colquitt County,2022,football,
101,Kentron Poitier, Wide Receiver, R-So., 6' 3'' ,205 lbs ," Coconut Grove, Fla.", Miami Palmetto,2022,football,
102,Jerrale Powers, Tight End, Fr., 6' 4'' ,245 lbs ," Fort Worth, Texas", Duncanville,2022,football,
103,Bishop Thomas, Defensive Line, Fr., 6' 2'' ,290 lbs ," New Orleans, La.", Bishop Moore Catholic (Fla.),2022,football,
104,Robert Cooper, Defensive Tackle, R-Sr., 6' 2'' ,335 lbs ," Lilburn, Ga.", South Gwinnett,2022,football,
105,Liam McCormick, Defensive Line, R-Fr., 6' 3'' ,264 lbs ," Islip, N.Y.", IMG Academy (Fla.),2022,football,
106,Malakai Menzer, Defensive Line, R-So., 6' 1'' ,258 lbs ," Punta Gorda, Fla.", Charlotte,2022,football,
107,George Sklavenitis, Defensive Line, Fr., 6' 2'' ,233 lbs ," Cooper City, Fla.", Chaminade-Madonna,2022,football,
108,Daniel Lyons, Defensive Line, Fr., 6' 4'' ,282 lbs ," Miami, Fla.", Homestead Senior,2022,football,
109,Dante Anderson, Defensive Line, Fr., 6' 3'' ,233 lbs ," Miami, Fla.", Homestead Senior,2022,football,
110,Aidan Shahriari, Kicker, R-So., 5' 11'' ,185 lbs ," Clearwater, Fla.", Calvary Christian,2022,football,
111,Zane Smith, Punter, R-Fr., 6' 0'' ,225 lbs ," North Myrtle Beach, S.C.", North Myrtle Beach,2022,football,
112,Max Larson, Kicker, R-Fr., 5' 10'' ,185 lbs ," Davie, Fla.", St. Thomas Aquinas,2022,football,
113,Malcolm Ray, Defensive Tackle, R-So., 6' 2'' ,285 lbs ," Miami Gardens, Fla.", Miami Carol City,2022,football,
0,Ja’Khi Douglas, WR, R-Jr., 5' 9'' ,189 lbs ," Houma, La.", Terrebonne,2023,football,
1,"Fabien Lovett, Sr.", DL, R-Sr., 6' 4'' ,318 lbs ," Vicksburg, Miss.", Olive Branch,2023,football,
2,Akeem Dent, DB, R-Sr., 6' 1'' ,191 lbs ," Pahokee, Fla.", Palm Beach Central,2023,football,
3,Trey Benson, RB, R-Jr., 6' 1'' ,223 lbs ," Greenville, Miss.", St. Joseph Catholic,2023,football,
4,Kevin Knowles II, DB, Jr., 5' 11'' ,187 lbs ," Hollywood, Fla.", McArthur,2023,football,
5,Keon Coleman, WR, Jr., 6' 4'' ,215 lbs ," Opelousas, La.", Opelousas Catholic,2023,football,
6,Kalen DeLoach, LB, R-Sr., 6' 1'' ,212 lbs ," Savannah, Ga.", Islands,2023,football,
7,Deuce Spann, WR, R-Jr., 6' 4'' ,207 lbs ," St. Petersburg, Fla.", Lakewood,2023,football,
8,Jared Verse, DL, R-Jr., 6' 4'' ,260 lbs ," Dayton, Ohio", Central Columbia (Penn.),2023,football,
9,Jaheim Bell, TE, R-Jr., 6' 3'' ,239 lbs ," Lake City, Fla.", Valdosta (Ga.),2023,football,
10,Dennis Briggs Jr., DL, R-Sr., 6' 4'' ,290 lbs ," Kissimmee, Fla.", Gateway,2023,football,
11,Destyn Hill, WR, Fr., 6' 0'' ,193 lbs ," New Orleans, La.", Edna Karr,2023,football,
12,Jarrian Jones, DB, R-Sr., 6' 0'' ,191 lbs ," Magee, Miss.", Northwest Rankin,2023,football,
13,Renardo Green, DB, R-Sr., 6' 0'' ,186 lbs ," Orlando, Fla.", Wekiva,2023,football,
14,Hykeem Williams, WR, Fr., 6' 2'' ,208 lbs ," Fort Lauderdale, Fla.", Stranahan,2023,football,
15,Lawrance Toafili, RB, R-Jr., 6' 0'' ,188 lbs ," St. Petersburg, Fla.", Pinellas Park,2023,football,
16,AJ Duffy, QB, R-Fr., 6' 2'' ,217 lbs ," Inland Empire, Calif.", Rancho Verde,2023,football,
17,DJ Lundy, LB, R-Jr., 6' 1'' ,244 lbs ," Ocilla, Ga.", Irwin County,2023,football,
18,Brock Glenn, QB, Fr., 6' 2'' ,213 lbs ," Covington, Tenn.", Lausanne Collegiate School,2023,football,
19,Patrick Payton, DL, R-So., 6' 5'' ,239 lbs ," Miami, Fla.", Miami Northwestern,2023,football,
20,Michael Grant, QB, Fr., 6' 3'' ,201 lbs ," Tallahassee, Fla.", Maclay,2023,football,
21,Conrad Hussey, DB, Fr., 6' 0'' ,195 lbs ," Sunrise, Fla.", St. Thomas Aquinas,2023,football,
22,Edwin Joseph, DB, Fr., 6' 0'' ,190 lbs ," Tamarac, Fla.", Chaminade-Madonna Prep,2023,football,
23,Jordan Travis, QB, R-Sr., 6' 1'' ,212 lbs ," West Palm Beach, Fla.", The Benjamin School,2023,football,
24,Darrell Jackson Jr., DL, Jr., 6' 5'' ,334 lbs ," Havana, Fla.", Gadsden County,2023,football,
25,Johnny Wilson, WR, R-Jr., 6' 7'' ,237 lbs ," Pacoima, Calif.", Calabasas,2023,football,
26,Tatum Bethune, LB, R-Sr., 6' 1'' ,230 lbs ," Miami, Fla.", Miami Central,2023,football,
27,Quindarrius Jones, DB, Fr., 6' 2'' ,191 lbs ," Meridian, Miss.", Meridian,2023,football,
28,Dylan McNamara, QB, R-Fr., 6' 2'' ,218 lbs ," Naples, Fla.", Barron Collier,2023,football,
29,Blake Nichelson, LB, Fr., 6' 3'' ,215 lbs ," Ripon, Calif.", Manteca,2023,football,
30,Tate Rodemaker, QB, R-Jr., 6' 4'' ,196 lbs ," Valdosta, Ga.", Valdosta,2023,football,
31,Gilber Edmond, DL, R-Jr., 6' 4'' ,257 lbs ," Fort Pierce, Fla.", Westwood,2023,football,
32,Vandrevius Jacobs, WR, Fr., 6' 0'' ,175 lbs ," Fort Pierce, Fla.", Vero Beach,2023,football,
33,Azareye’h Thomas, DB, So., 6' 2'' ,194 lbs ," Niceville, Fla.", Niceville,2023,football,
34,Greedy Vance Jr., DB, R-Jr., 5' 11'' ,170 lbs ," Kenner, La.", Edna Karr,2023,football,
35,Darion Williamson, WR, R-Jr., 6' 3'' ,204 lbs ," Brownsville, Tenn.", Haywood,2023,football,
36,CJ Campbell Jr., RB, R-So., 5' 9'' ,196 lbs ," Kaplan, La.", Bay (Fla.),2023,football,
37,Jaden Jones, DL, R-So., 6' 5'' ,252 lbs ," Montgomery, Ala.", Park Crossing,2023,football,
38,Fentrell Cypress II, DB, R-Jr., 6' 0'' ,187 lbs ," Rock Hill, S.C.", Northwestern,2023,football,
39,K.J. Kirkland, DB, Fr., 6' 1'' ,197 lbs ," Jacksonville, Fla.", Raines,2023,football,
40,Caziah Holmes, RB, R-Jr., 5' 11'' ,208 lbs ," Titusville, Fla.", Cocoa,2023,football,
41,Dwayne Wells Jr., DB, R-Sr., 6' 1'' ,201 lbs ," Tampa, Fla.", Armwood,2023,football,
42,Ashlynd Barker, DB, R-Fr., 6' 3'' ,206 lbs ," Columbus, Ga.", Northside,2023,football,
43,Justin Cryer, LB, Fr., 6' 1'' ,225 lbs ," Katy, Texas", Royal,2023,football,
44,Samuel Singleton Jr., RB, Fr., 5' 11'' ,188 lbs ," Charleston, S.C.", Fleming Island (Fla.),2023,football,
45,Rodney Hill, RB, R-Fr., 5' 10'' ,190 lbs ," Statesboro, Ga.", Bulloch Academy,2023,football,
46,Alex Mastromanno, P, R-Jr., 6' 1'' ,235 lbs ," Melbourne, Australia", Brighton Grammar,2023,football,
47,Ja’Bril Rawls, DB, Fr., 6' 1'' ,170 lbs ," Pensacola, Fla.", Pensacola Catholic,2023,football,
48,Solomon Lowery Jr., WR, Fr., 6' 3'' ,192 lbs ," St. Petersburg, Fla.", Lakewood,2023,football,
49,DeMarco Ward, LB, Fr., 6' 1'' ,227 lbs ," Duluth, Ga.", Duluth,2023,football,
50,Jeremiah Giedrys, WR, R-Jr., 6' 1'' ,201 lbs ," Fernandina Beach, Fla.", Fernandina Beach,2023,football,
51,Peter Warrick Jr., DB, R-So., 5' 10'' ,170 lbs ," Marietta, Ga.", Marietta,2023,football,
52,Demetric Stephens, RB, Fr., 5' 11'' ,205 lbs ," Tallahassee, Fla.", Lincoln,2023,football,
53,Dylan Brown-Turner, LB, Fr., 6' 1'' ,210 lbs ," Dallas, Texas", South Oak Cliff,2023,football,
54,Omar Graham Jr., LB, R-Fr., 6' 1'' ,225 lbs ," Fort Lauderdale, Fla.", Stranahan,2023,football,
55,Christian White, DB, R-Fr., 5' 11'' ,177 lbs ," Ellenwood, Ga.", Eagle's Landing Christian Academy,2023,football,
56,Shyheim Brown, DB, R-So., 6' 2'' ,205 lbs ," Lake City, Fla.", Columbia,2023,football,
57,Jaden Floyd, DB, R-So., 5' 11'' ,197 lbs ," Winter Garden, Fla.", West Orange,2023,football,
58,Vance Nicklaus, TE, R-So., 6' 5'' ,240 lbs ," Norcross, Ga.", Wesleyan School,2023,football,
59,AJ Cottrill, LB, R-Fr., 6' 0'' ,222 lbs ," Tampa, Fla.", Jesuit,2023,football,
60,Harold Stubbs IV, DB, R-Fr., 5' 11'' ,173 lbs ," Jacksonville, Fla.", Oakleaf,2023,football,
61,Danj Altine, DB, R-Sr., 5' 9'' ,190 lbs ," Miami, Fla.", Miami Killian,2023,football,
62,Mac Chiumento, P, R-Fr., 6' 4'' ,219 lbs ," Daytona Beach, Fla.", Seabreeze,2023,football,
63,Joshua Farmer, DL, R-So., 6' 3'' ,311 lbs ," Port St. Joe, Fla.", Gadsden County,2023,football,
64,Preston Daniel, TE, R-Jr., 6' 4'' ,236 lbs ," Memphis, Tenn.", Evangelical Christian,2023,football,
65,Lamont Green Jr., DL, Fr., 6' 3'' ,223 lbs ," Miami, Fla.", Gulliver Prep,2023,football,
66,Ashton Bracewell, LB, Fr., 6' 3'' ,227 lbs ," Palm Coast, Fla.", Flagler-Palm Coast,2023,football,
67,Jimmy Casey, TE, R-Fr., 6' 7'' ,237 lbs ," Quakertown, Penn.", The Peddie School,2023,football,
68,Donny Hiebert, DB, Fr., 6' 2'' ,196 lbs ," Gainesville, Fla.", Buchholz,2023,football,
69,Jayden Bradford, DB, Fr., 6' 0'' ,172 lbs ," Kissimmee, Fla.", Osceola,2023,football,
70,Jackson West, TE, R-So., 6' 4'' ,244 lbs ," Huntsville, Ala.", Huntsville,2023,football,
71,James Rosenberry Jr., LS, R-Sr., 6' 0'' ,230 lbs ," Delaware, Ohio", Olentangy,2023,football,
72,Robert Scott Jr., OL, R-Jr., 6' 5'' ,313 lbs ," Conway, Ark.", Conway,2023,football,
73,Maurice Smith, OL, R-Jr., 6' 3'' ,296 lbs ," Miami, Fla.", Miami Central,2023,football,
74,Brandon Torres, LB, Fr., 6' 1'' ,225 lbs ," Naples, Fla.", Barron Collier,2023,football,
75,Jaylen Early, OL, R-Fr., 6' 4'' ,299 lbs ," Duncanville, Texas", Duncanville,2023,football,
76,Byron Turner Jr., DL, R-So., 6' 4'' ,244 lbs ," Port Sulpher, La.", St. Augustine,2023,football,
77,Braden Fiske, DL, R-Sr., 6' 5'' ,297 lbs ," Michigan City, Ind.", Michigan City,2023,football,
78,Qae’shon Sapp, OL, R-Fr., 6' 4'' ,325 lbs ," Leesburg, Ga.", Lee County,2023,football,
79,KJ Sampson, DL, Fr., 6' 3'' ,304 lbs ," New Bern, N.C.", New Bern,2023,football,
80,Aaron Hester, DL, R-Fr., 6' 2'' ,241 lbs ," Jacksonville, Fla.", Fletcher,2023,football,
81,Emile Aime, LB, R-So., 5' 9'' ,220 lbs ," Miami Gardens, Fla.", University School,2023,football,
82,Bless Harris, OL, R-Sr., 6' 5'' ,326 lbs ," New Orleans, La.", St. Augustine,2023,football,
83,Peyton Naylor, LS, Fr., 5' 10'' ,191 lbs ," Tallahassee, Fla.", Maclay,2023,football,
84,Mason Arnold, LS, R-So., 6' 0'' ,215 lbs ," Tampa, Fla.", Carrollwood,2023,football,
85,Jeremiah Byers, OL, R-Jr., 6' 4'' ,325 lbs ," Austin, Texas", L.C. Anderson,2023,football,
86,David Stickle, OL, R-Jr., 6' 3'' ,285 lbs ," Pace, Fla.", Pace,2023,football,
87,Andre’ Otto, OL, Fr., 6' 5'' ,326 lbs ," Key West, Fla.", Key West,2023,football,
88,Ben Ostaszewski, OL, R-Jr., 6' 3'' ,291 lbs ," Cumming, Ga.", North Forsyth,2023,football,
89,Thomas Shrader, OL, R-Jr., 6' 5'' ,295 lbs ," Venice, Fla.", Venice,2023,football,
90,LaNard Toney, OL, R-Fr., 6' 0'' ,306 lbs ," Rockledge, Fla.", Cocoa,2023,football,
91,Kanaya Charlton, OL, R-Fr., 6' 5'' ,338 lbs ," Brunswick, Ga.", Brunswick,2023,football,
